Sr No,Subsidy scheme,Scheme Type,Ministry,Description,Visiting link to know more,Applicability Central/State
111,Financial assistance for installation of Enterprise Resource Planning (ERP) System & Adoption of other ICT platforms & facilities,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                The objective of the scheme is to give financial assistance to MSMEs for installation of Enterprise Resource Planning (ERP) System & Adoption of other ICT platforms & facilities
                                
Eligibility:
                                All MSMEs in the state of Gujarat
Amount or percentage of subsidy:
                                MSMEs can avail an assistance of up to 65% of capital cost up to INR 1 lakh for implementing ERP system from the approved ERP service provider by Industries Commissionerate. For implementing ICT facilities, the MSMEs can obtain assistance up to 65% of capital cost up to INR 5 lakhs.",https://eoibrasilia.gov.in/?pdf11603,Gujarat
112,Technology upgradation & Acquisition Support,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                In order to keep pace with the global manufacturing trends, the manufacturing sector needs to adopt latest technologies. With an aim to encourage innovation and adoption of sophisticated technologies by MSME, the state will provide fiscal support to industries in acquiring technologies from recognized institutions as well as in acquisition of patented technologies from foreign companies.
                                
Eligibility: MSMEs in the state of Gujarat
Amount or percentage of subsidy:
                                MSMEs will get assistance up to 65% of the cost payable to the institution up to INR 50 lakhs for acquisition of technology. Patent Support: The policy will provide financial support through partial reimbursement of cost for filing of domestic patents and international patents up to 75% of the cost/expenditure incurred subject to a maximum of INR 25 lakhs. Maximum fee for attorney for national patent is INR 50,000 and international patent is INR 2,00,000 within the overall cap of 75% of the cost/expenditure. Process Patents will also be made eligible under this benefit",https://eoibrasilia.gov.in/?pdf11603,Gujarat
113,Raising capital through SME Exchange:,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                This assistance would support in raising funds through SME exchange on one-time basis.

                                Eligibility:
                                SMEs who want to raise capital through SME Exchange
Amount or percentage of subsidy:
                                SMEs can avail up to 25% of expenditure incurred on raising of equity capital through SME exchange maximum up to INR 5 lakhs on one-time basis.",https://eoibrasilia.gov.in/?pdf11603,Gujarat
114,Energy & Water conservation,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                The assistance will be provided for conducting audits for energy and water conservation as well as for purchase of equipment.

                                Eligibility:
                                All MSMES in the state
Amount or percentage of subsidy:
                                The policy will provide assistance up to 75% cost of energy / water audit conducted by a recognized institution / consultant subject to maximum INR 50,000 and 25% of cost of equipment recommended by the auditing authority subject to maximum INR 20 lakhs.",https://eoibrasilia.gov.in/?pdf11603,Gujarat
115,Service line & Power connection charges,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features: Assistance in service line and power connection charges

Eligibility: MSMEs
Amount or percentage of subsidy:
                                The policy will provide assistance for service line and power connection charges, rent etc. at 35% of charges paid to distribution licences for LT/HT service line, maximum limit up to INR 5 lakh",https://eoibrasilia.gov.in/?pdf11603,Gujarat
116,Use of Rooftop Solar Power by MSMEs,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary /Key features:
                                
                                In order to encourage MSME for reduction of electricity cost, the state had introduced a special Solar policy under which MSME are eligible to set-up rooftop solar power and provision is made to purchase surplus power from them

Eligibility: MSMEs in the State of Gujarat
Amount of subsidy/key features:
                                Considering the difficulties faced by MSME units, government with a view to further ease the process of utilizing rooftop Solar Power in MSMEs, has increased the power cycle for calculation of consumption of units from 15 minutes to 11 hours i.e. 7 AM – 6 PM and has increased the price for purchase of surplus solar power from MSMEs, from INR 1.75/unit to INR 2.25/unit.",https://eoibrasilia.gov.in/?pdf11603,Gujarat
117,Promote Start-up and innovation,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                Gujarat, owing to its inherent strength of widespread entrepreneurial spirit has gained a significant spot in the national start-up ecosystem. The incentives under the previous scheme created a strong network of nodal institutions. This supported several start-ups in setting up/expanding their operations both in national and international markets. The new scheme aims to further accelerate and strengthen the start-up ecosystem in the state.

Eligibility: Start-up units in the state of Gujarat
Amount or percentage of subsidy:

                                    Acceleration Programs:
                                 Dedicated acceleration programs will be conducted in the state as per the provisions of the scheme. Additionally, the policy would support start-ups up to INR 3 lakhs to attend other national/international acceleration programs. The policy will also support in organizing acceleration programs.

                                    Promotional Events:
                                 The scheme aims to organize focused workshops, seminars, bootcamps, hackathons, grand challenges etc. across the state with support from various stakeholders. For this, the policy will provide support up to 75% of the total expenditures up to INR 5 lakhs. However, in case of events specific to women entrepreneurship, the policy will support up to 90% of total expenditures up to INR 5 lakhs.
Nodal Institutes and Mentoring Assistance: The Gujarat Start-up Cell would also identify and establish association with Nodal Institutes across the state. Fiscal support to these Nodal institutes mentoring approved start-ups will also be given as part of the policy. Mentoring assistance of INR 1 lakh per start-up will be given to Nodal institutes up to a maximum of INR 15 lakhs per annum. In addition to this, a dedicated portal detailing the facilities of various nodal institutes and Government bodies will be created for the start-ups to avail them. These facilities include: testing labs, 3-D printing, library, co-working space etc. at a subsidized rate. Moreover, “Gujarat e-marketplace” will be made operational on the Start-up Gujarat Portal, where the start-ups supported by state government can promote their products and services",https://eoibrasilia.gov.in/?pdf11603,Gujarat
118,Special focus on promotion of Service sector,All,"Industries Commissionerate
                                Industries & Mines Department
                                Govt. of Gujarat","Scheme summary/key features:
                                MSMEs Service sector is a major contributor to the national GDP. Many services are key inputs for facilitating primary and secondary industries. Thus, the service sector is a critical lever for enhancing productivity, ease of living and livelihood. With the establishment of several SEZs, IT parks and most importantly, GIFT City, a conducive ecosystem exists for the service sector industries to expand operations in the state. Hence, it is decided to extend incentives to Service sector covered in MSME.
                                In view of the potentiality of service sector, it has been decided to widen the scope of service sector. Besides the 22 service categories already defined in the Gujarat Industrial Policy 2015, following champion services are identified to cover them under eligible service sector for incentives:

                                1.	Financial services 2. Health services 3. Transport and logistics services 4. Audio Visual services 5. Construction related engineering services 6. Environmental service

                                Eligibility: MSMEs in service sector
Amount or percentage of subsidy: As given below


Taluka Category
Interest Subsidy


Category 1
@7% of term loan amount disbursed with the maximum amount of Rs. 35 lakhs per annum for 7 years


Category 2
@6% of term loan amount disbursed with the maximum amount of Rs. 30 lakhs per annum for 6 years


Category 3 (including Municipal Corporation areas)
@5% of term loan amount disbursed with the maximum amount of Rs. 25 lakhs per annum for 5 years



                                            Additional 1% subsidy will be given to SC/ST entrepreneurs • The interest subsidy will be so given that in any case, the unit will have to bear
                                            minimum 2% of total interest levied on term loan.",https://eoibrasilia.gov.in/?pdf11603,Gujarat
119,Reimbursement of expenses incurred for water audit,All,Govt. of Karnataka,"Scheme summary/key features:
                                Reimbursement of expenses incurred for water audit

                                Eligibility: MSMEs in the state of Karnataka 
Amount or percentage of subsidy:





                                                Water Audit


                                            



 General category


                                                Special category (SC/ST/Women/minorities/physically challenged and
                                                ex-servicemen entrepreneurs)
                                            





                                            For all zones

                                            75% subject to a maximum of Rs.1.00 lakh each for water audit (One time)


                                        

                                            For all zones

                                            75% subject to a maximum of Rs.1.00 lakh each for water audit (One time)",https://www.google.com/search?q=karnataka+industrial+policy+2020-25+pdf&rlz=1C1CHBF_enIN927IN928&oq=Karnata&aqs=chrome.0.69i59l3j69i57j69i60l4.4259j0j7&sourceid=chrome&ie=UTF-8,Karnataka
120,Zero discharge,All,Govt. of Karnataka,"Scheme Summary/key features:  Assistance for zero discharge

                                    Eligibility: MSMEs           Amount or percentage of subsidy: As in the table below.
                                



                                                Zero discharge
                                            


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)



                                                For all zones
                                                50% of cost of equipment (Maximum Rs.7.50 lakh)
                                            

                                                For all zones
                                                50% of cost of equipment (Maximum Rs.8.50 lakh)",https://www.google.com/search?q=karnataka+industrial+policy+2020-25+pdf&rlz=1C1CHBF_enIN927IN928&oq=Karnata&aqs=chrome.0.69i59l3j69i57j69i60l4.4259j0j7&sourceid=chrome&ie=UTF-8,Karnataka
121,Recycling of electronic waste and plastic waste,All,Govt. of Karnataka,"Scheme summary/key features:
                                Assistance for recycling electronic waste and plastic waste
Eligibility: MSMEs
Amount or percentage of subsidy: As given below.


Recycling of electronic waste


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)



                                            For all zones
                                            5% of VFA (maximum Rs.10 lakh)

                                        

                                            For all zones
                                            5% of VFA (maximum Rs.12 lakh)",https://www.google.com/search?q=karnataka+industrial+policy+2020-25+pdf&rlz=1C1CHBF_enIN927IN928&oq=Karnata&aqs=chrome.0.69i59l3j69i57j69i60l4.4259j0j7&sourceid=chrome&ie=UTF-8,Karnataka
122,Fixed Capital Investment (FCI),All,Govt. of Karnataka,"Scheme summary/key features
                                A basket of incentives, their aggregate amount not exceeding a specified ceiling will be offered to eligible MSME units:


Taluka/Area Classification
Maximum Admissible Fixed Capital Investment (in Rs. Crore)
Ceiling as % of FCI

                                            Eligibility period
                                            (Years)
                                        


A
For the purpose of this policy, MSME shall include units as per the MSMED Act, 2006, as well as the units with FCI of up to INR 50 crore
-
-


B
30%
7


C
40%
7


D
50%
10


D+
60%
10



                                            Vidarbha, Marathwada, Ratnagiri,
                                            Sindhudurg & Dhule
                                        
80%
10


No Industry Districts, Naxalism

100%
10



                                            Affected Areas* and Aspirational
                                            Districts**
                                        






                                    *Naxalism affected areas as per Government Resolution No.: PSI -2013/ (CR- 54) /IND-8 Dated 1st April 2013 issued by Government of Maharashtra Industries, Energy and Labour Department.
                                    ** Aspirational Districts are Osmanabad, Gadchiroli, Washim and Nandurbar
                                
Eligibility:  MSME units in the state of Maharashtra
Amount or percentage of subsidy:  As given the Table above",https://maitri.mahaonline.gov.in/PDF/Maharashtra%20New%20Industrial%20Policy-2019.pdf,Maharashtra
123,Power Tariff Subsidy,All,"Directorate of Industries
                                Govt. of Maharashtra","Scheme summary /key features
                                The power tariff subsidy, for eligible new units located (other than A areas) in Vidarbha, Marathwada, North Maharashtra, and Districts of Raigad, Ratnagiri and Sindhudurg in Konkan will be to the extent of INR 1/- per unit consumed and in other areas (except A areas), to the tune of INR 0.5/- per unit consumed for 3 years from the date of commencement of commercial production. In areas other than A area, Interest subsidy @5 per cent p.a., maximum up to the value
                                of electricity consumed and bills paid for that year, will be admissible.
Eligibility:  Eligible New MSME units
Amount or percentage of subsidy: As given in scheme summary",https://maitri.mahaonline.gov.in/PDF/Maharashtra%20New%20Industrial%20Policy-2019.pdf,Maharashtra
124,Stamp duty Exemption,All,"Directorate of Industries
                                Govt. of Maharashtra","Scheme summary/key features
                                Eligible MSMEs will be entitled to 100 per cent stamp duty exemption within investment period for acquiring land (including assignment of lease rights and sale certificate) and for term loan purposes. However, in A and B areas Stamp Duty exemption will be offered only to IT and BT manufacturing units in IT and BT Parks. Eligible Units under PSI 2013 Scheme will also be eligible for stamp duty exemption for their Investment Period.

Eligibility:  Eligible MSMEs
Amount or percentage of subsidy: As given above in the Scheme summary/key features",https://maitri.mahaonline.gov.in/PDF/Maharashtra%20New%20Industrial%20Policy-2019.pdf,Maharashtra
125,Exemption from payment of Electricity Duty,All,"Directorate of Industries
                                Govt. of Maharashtra","Scheme summary/key features:
                                Eligible New MSMEs in C, D,D+, No industries Districts and Naxalism Affected Area will be entitled to exemption from payment of electricity duty for tenure equal to the eligibility period. However, in A and B areas Electricity Duty exemption will be offered to 100 per cent Export Oriented MSMEs and IT/BT units for seven years.

Eligibility:   Eligible MSMEs
Amount or percentage of subsidy:  As given above in Scheme summary/key features",https://maitri.mahaonline.gov.in/PDF/Maharashtra%20New%20Industrial%20Policy-2019.pdf,Maharashtra
126,Investment Promotion Subsidy (IPS) on Gross SGST,All,"Directorate of Industries
                                Govt. of Maharashtra","Scheme summary/key features:
                                Eligible Micro, Small & Medium enterprises & Small Industries as defined above shall be offered Investment Promotion Subsidy (IPS) on Gross SGST paid by the unit on the first sale of eligible products billed and delivered to the same entity within Maharashtra.
Eligibility:   Eligible MSMEs
Amount or percentage of subsidy:    As given above in Scheme summary/key features",https://maitri.mahaonline.gov.in/PDF/Maharashtra%20New%20Industrial%20Policy-2019.pdf,Maharashtra
127,Various schemes for MSMEs under MSME Policy 2021,All,Govt. of Tamil Nadu,Various schemes under MSME policy 2021,"http://www.indcom.tn.gov.in/pdf/2021/MSME_Policy_2021.pdf

                                (Refer Annexure 1 of the Policy)",Tamil Nadu
150,Subsidised term loan from,SC/ST,"National Scheduled Castes Finance and Development Corporation, Government of India, Ministry of Social Justice and Empowerment","Scheme summary/key features
                                NSFDC provides term loan for project(s)/unit(s) costing up to Rs 50.00 lakhs.
                                NSFDC provides term loan up to 95% of the cost of project, subject to the condition that the SCAs contribute their share of assistance as per their schemes and also provide the required subsidy besides tying up of the financial resources from other sources available.
                                Interest rate depends on quantum of loan. Term loan to be repaid in quarterly/half yearly/annual instalments within a maximum period of 10 years. Moratorium Period is 6 months to 12 months depending upon nature of business activity
Eligibility:
                                The beneficiary should be from the Scheduled Castes Community.
                                Up to Rs. 3.00 lakhs for both Rural and Urban areas.
                                At least 50% of funding to the beneficiaries having annual family income up to Rs. 1.50 lakh and balance 50% funding to the beneficiaries having annual family income above Rs. 1.50 lakh and up to Rs. 3.00 lakh.


                                    Amount or percentage or subsidy:
                                
                                Beneficiaries are eligible for subsidy 10,000/- or 50% of the unit cost, whichever is less and to be provided by SCAs",http://nsfdc.nic.in//en/schemes-dashboard,Central
151,Swachhta Udyami Yojana (SUY),SC/ST,"National Safai Karmacharis Finance & Development Corporation, Government of India, Ministry of Social Justice and Empowerment","Scheme summary /key features:
                                Swachhta Udyami Yojana-Swachhta Se Sampannta Ki Aur"" is for extending financial assistance for Construction, Operation & Maintenance of Pay and Use Community Toilets in Public Private Partnership (PPP) Mode and Procurement & Operation of Sanitation Related Vehicles.

                                Maximum amount of financial assistance Rs.25 lakh for setting up a unit of 10-seater toilet to individual/SHGs in collaboration with reputed organisations. For procurement and operation of sanitation related vehicles maximum amount of financial assistance Rs.15 lakh to individual/SHG/JRG/cooperative and up to Rs.40 lakh to SHG/JRG/Co-operative. Rate of interest 4% p.a and repayment period up to 10 years.
                                Moratorium 6 months plus 6 months for implementation.
Eligibility:
                                Individual beneficiaries, SHGs through State Channelising Agencies (SCAs) in collaboration with reputed organisations for construction, operation and maintenance of Pay & Use toilets.
                                For procurement and operation of sanitation related vehicles target group of manual scavengers, safai karamcharis urban local bodies
Amount or percentage of subsidy:
                                Maximum subsidy of Rs.3.25 lakh in case of manual Scavengers under Self Employment Scheme for Rehabilitation of Manual Scavengers (SRMS) in accordance with the ""Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013.",http://nskfdc.nic.in/content/home/swachhta-udyami-yojana-suy,Central
152,Special Credit Linked Capital Subsidy Scheme (SCLCSS) for MSEs under National Scheduled Castes and Scheduled Tribes Hub Scheme-reg,SC/ST,"Government of India, Ministry of Micro, Small & Medium Enterprises (MSME)","Scheme summary/key features:
                                The scheme aims at facilitating purchase of plant & machinery by providing upfront capital subsidy to SC/ST owned MSEs on institutional finance availed of by them with an overall investment ceiling of Rs.1 crore without any restriction on the sectors or machinery & technology The objective of this scheme is to promote new enterprises and support the existing enterprises in their expansion for enhanced participation in the public procurement.

Eligibility: SC/ST owned MSEs both existing and new
Amount or percentage of subsidy: 25% of institutional finance availed.",https://msme.gov.in/whatsnew/guidelines-special-credit-linked-capital-subsidy-scheme-sclcss-mses-under-national,Central
153,Bharat Ratna Dr. Baba Saheb Ambedkar Udyog Uday Yojna for SC/ST Entrepreneurs of MSME,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary /Key features:

                                The scheme shall be operative from 07/08/2020 (date of announcement of industrial policy) to 06/08/2025.  The following schemes will be in operation
                                1.	Capital investment subsidy
                                2.	Assistance for interest subsidy
                                3.	Assistance for quality certification
                                4.	Financial support to MSMEs in ZED certification
                                5.	Assistance in implementation of Information and Communication Technology (ICT)
                                6.	Assistance for technology acquisition 
                                7.	Assistance for raising capital through SME exchange
                                8.	Assistance for power connection charges
                                9.	Assistance to basic industrial infrastructure
                                10.	Assistance to Special entrepreneurship training with 360-degree approach with mentoring support with sustenance allowance for promoters/entrepreneurs 
                                11.	Assistance to GIDC for developing multi-storeyed shed in estates 
                                12.	. Assistance to MSEs for shed developed by private developers 
                                13.	Assistance in rent to MSEs 
                                14.	Assistance to MSME manufacturing sector participation in the exhibition
                                15.	Assistance to MSE of SC/ST for plot developed by GIDC 
Eligibility:
                                MSMEs in the State. SC/ST enterprise means the enterprise in which contribution of SC/ST entrepreneur is 51% or more
Amount or percentage of subsidy: As per respective schemes in the policy",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
153-(i) & (ii),Capital Investment subsidy and Assistance for Interest subsidy,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                Enterprise claiming capital investment subsidy should apply on line within one year of commercial production. Capital investment subsidy will not be available if loan is sanctioned one year after commercial production. For interest subsidy the enterprise has to apply online within one year from the date of first disbursement of loan or on or before the date of commencement of commercial production/rendering services
Eligibility:
                                Enterprise claiming capital investment subsidy should apply on line within one year of commercial production. Capital investment subsidy will not be available if loan is sanctioned one year after commercial production. For interest subsidy the enterprise has to apply online within one year from the date of first disbursement of loan or on or before the date of commencement of commercial production/rendering service
Amount or percentage of subsidy:

Capital and Interest Subsidy to Manufacturing MSMEs

Taluka Category/Sector
Capital Subsidy
Interest Subsidy




                                                                                                 Category 1 Taluka
                                                                                                 (Backward)


At 30% of eligible Term Loan Amount up to INR 40 lakh;
                                                                                             Additional INR 10 lakhs for investments > 10 Crore

At 8% of term loan amount up to INR 35 lakh p.a. for 7 years




                                                                                                 Category 2 Taluka
                                                                                                 (Developing)



                                                                                                 At 25% of eligible Term Loan Amount up to INR 35 lakhs;
                                                                                              Additional INR 7.5 lakhs for in investment > 10 Crore

At 7% of term loan amount up to INR 30 lakh p.a. for 6 years




                                                                                                 Category 3 Taluka
                                                                                                 (Mature)



                                                                                                 At 15% of eligible Term Loan Amount up to INR 15 lakhs;
                                                                                             Additional INR 5 lakhs for in investment > 10 Crore

At 6% of term loan amount up to INR 25 lakh p.a. for 5 years


Additional Incentives/Benefits
1% additional interest subsidy to SC/ST Entrepreneur/physical challenged entrepreneur/women entrepreneur/Start-up in manufacturing sector


1% additional interest subsidy to young entrepreneurs below age of 35 years


In any case, the unit will have to bear minimum 2% interestlevied on term loan




Interest Subsidy to MSMEs


Taluka Category/Sector
Interest Subsidy


Category 1 Taluka (Backward)
At 8% of term loan amount  up to INR 35 lakh p.a. for 7 years




                                               Category 2 Taluka
                                               (Developing)

At 7% of term loan amount up to INR 30 lakh p.a. for 6 years




                                               Category 3 Taluka   and Municipal Corporation areas
                                               (Mature)

At 6% of term loan amount up to INR 25 lakh p.a. for 5 years


Additional Incentives/Benefits
1% additional interest subsidy to registered start up in service sector and having Udyam and MSME registration


Service Enterprises which have service tax registration only are eligible for incentive


Enterprise has to obtain Shop & Establishment registration from Municipal Corporation for doing business",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (iii)",Assistance for quality certification,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                The scheme is to extend support to MSME to get quality certification to introduce quality product in competitive market. The manufacturing sector will be eligible for following assistance
Eligibility:  MSMEs
Amount or percentage of subsidy:
 ERP Assistance:
                                75% of capital cost for installing Enterprise Resource Planning (ERP) System subject to a maximum amount of Rs. 1 lakh. Capital cost in ERP system includes installation charges, software and annual service cost. The capital cost does not include the hardware part of the ERP system. In case of Software as a Service (SaaS)based deployment option of ERP system the annual service charges will be considered.
Quality Certification:  The policy will provide fiscal support up to 60% of fee payable to national/international certification (BIS/ISI/WHO/GMP/Hallmark etc., and other national and international certification) and 60% cost of testing equipment and machinery required for that certification, totalling up to maximum amount of INR 10 lakhs. The cost of certificate will include fees charged by certification agency (excluding travel, hotel and surveillance charges) cost of testing equipment /machinery as required for certifications, Calibration charges of equipment. The testing equipment purchased after issuance of Quality Certificate will not be eligible for assistance. The enterprise will have to apply within one year from the date of assistance.",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (iv)",Financial support to MSMEs in ZED certification,SC/ST,"Industries Commissionerate, Government of Gujarat
                                Gujarat","Scheme summary/key features:
                                The scheme envisages promotion of Zero Defect and Zero Effect (ZED) manufacturing amongst MSMEs and ZED Assessment for their certification so as to:
                                •	Develop an Ecosystem for Zero Defect Manufacturing in MSMEs.
                                •	Promote adaptation of Quality tools/systems and Energy Efficient manufacturing.
                                •	Enable MSMEs for manufacturing of quality products.
                                •	Encourage MSMEs to constantly upgrade their quality standards in products and processes.
                                •	Drive manufacturing with adoption of Zero-Defect production processes and without impacting the environment.
                                •	Support ‘Make in India’ campaign.
                                •	Develop professionals in the area of ZED manufacturing and certification
Eligibility: MSME Units
Amount or percentage of subsidy:
                                The enterprise will be eligible for subsidy @ 50% of all charges after deducting the assistance received from Govt. of India foe ZED certification up to a maximum amount of Rs.50,000/",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (v)",Assistance in implementation of Information and Communication Technology (ICT),SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                The main objective of the scheme is to motivate MSMEs to adopt ICT tools and applications in their production & business processes with a view to improve their competitiveness in national & International market. The likely development outcomes of the scheme will be: i. To promote an echo system of cost effective and all-inclusive ICT applications for MSMEs through Cloud Computing ii. To establish Inter and Intra Networks amongst Technology Centres and Institutions of Office of DC, MSME iii. To enable MSMEs to search for value chain (raw material, experts) online iv. Adoption of best practices to improve quality of products and services

Eligibility:
                                MSMES
Amount or percentage of subsidy:
                                The equipment required for use of ICT as a media of communication networking with hardware for assessing cloud computing shall be eligible for 75% of capital expenditure related to ICT facilities, maximum up to Rs.5 lakh",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (vi)",Assistance for technology acquisition,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                The objective of the scheme is to sensitize and encourage the manufacturing MSME sector in India to the use of efficient Technologies and Manufacturing Processes so as to reduce cost of production.
Eligibility:
                                MSMEs New units and existing
Amount or percentage of subsidy:
                                Assistance for the acquisition of appropriate technology from recognised institution for its product/ process during the operative period of the scheme will be @ 70% of the cost payable to the institution, maximum of Rs. 50 lakh, including royalty payment for first two years.

                                MSME shall have to obtain prior approval of MSME Commissioner within one year after signing MoU with Technology provider. Assistance will be available to set up a new enterprise with new technology. Existing enterprise will also be eligible for new product or for improvement of production process. Assistance will not be eligible for purchase of any plant and machinery or equipment. Patented technology acquired from Indian companies /foreign companies will also be eligible",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
153-(vii),Assistance for raising capital through SME exchange,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                Under the new guidelines of SEBI MSMEs can raise equity capital through SME Exchange. Assistance will be provided under this scheme to encourage MSMEs to opt for this route
Eligibility: MSMEs in Manufacturing.
Amount or percentage of subsidy:
                                30% expenditure incurred on raising of equity capital through SME exchange maximum up to Rs 5 lakhs one time after successful raising of equity as per approved scheme by SME Exchange during the operative period of the scheme.
                                Enterprises shall have to apply within one year from the date of listing in SME exchange.
                                MSME status of enterprise will be considered on the date of listing in SME Exchange.
                                Gujarat Venture Finance Limited (GVFL) may take equity in enterprise which are registered in SME Exchange.",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (viii)",Assistance for power connection charges,SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                MSME, located in other than GIDC estates/approved industrial park, which has paid charges to distribution licensee, for new connection or for Setting additional load in case of existing consumer (in case of expansion) or for shifting of connection or service line, will be eligible for assistance under the scheme.
Eligibility:
                                MSME, located in other than GIDC estates/approved industrial park, which has paid charges to distribution licensee, for new connection or for Setting additional load in case of existing consumer (in case of expansion) or for shifting of connection or service line, will be eligible for assistance under the scheme.

Amount or percentage of subsidy:
                                Assistance @50% of charges paid to distribution licences for LT/HT service line, maximum limit up to Rs. 5 lakhs. The MSME manufacturing enterprise has to apply for reimbursement within one year from the date of payment of charges to Distribution Licensee for service line",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
"153
                                (ix)","Assistance to basic industrial infrastructure
                                (Water, Gas and approach road)",SC/ST,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                The objective of the scheme is to support MSMEs in the state y extending assistance to improve basic infrastructure needed by them.
 Eligibility
                                Eligible investment means fixed capital investment made in any of following basic infrastructure facilities in other than 6lDC area/industrial park i. 
                                Approach road: Expenditure incurred for construction of approach road from the premises of the enterprise to the main outer point/connecting point for last mile connectivity., The expenditure for construction of approach road will be considered on basis of SOR applicable. The construction of Approach Road should be certified for Quality by Third party holding Govt. approval. Gas / Water connection: Expenditure incurred or charges paid to supplier lor gas / water connection from source to premises of the enterprise 

Amount or percentage of subsidy:
                                Assistance @75% of cost of capital investment for infrastructure or expenditure incurred for Water/ gas facilities, maximum limit up to Rs. 15 lakh including all infrastructure / facilities.

                                The eligible investment component of the project will not be eligible for assistance under this Scheme, if the said component has already been sanctioned under any other scheme of the state government, unless specified otherwise. However, if assistance is availed under Central Govt. Scheme, the assistance together of state government and central government scheme should not exceed the eligible investment component cost. b) The applicant shall have to submit detailed estimate for the basic infrastructural / facilities needed.",https://indextb.com/files/2020/10/b0e2ed2a-18ff-4a0f-a132-407b89ef271f_2-GR_02092020.pdf,Gujarat
